25
6
2.01;3.01;2.01;3.01;2.01;3.01;2.01;3.01
5.02;2.05;5.02;2.05;5.02;2.05;5.02;2.05
8.03;1.09;8.03;1.09;8.03;1.09;8.03;1.09
11.04;0.13;11.04;0.13;11.04;0.13;11.04;0.13
14.05;-0.83;14.05;-0.83;14.05;-0.83;14.05;-0.83
17.06;-1.79;17.06;-1.79;17.06;-1.79;17.06;-1.79
20.07;-2.75;20.07;-2.75;20.07;-2.75;20.07;-2.75
23.08;-3.71;23.08;-3.71;23.08;-3.71;23.08;-3.71
26.09;-4.67;26.09;-4.67;26.09;-4.67;26.09;-4.67
29.1;-5.63;29.1;-5.63;29.1;-5.63;29.1;-5.63
32.11;-6.59;32.11;-6.59;32.11;-6.59;32.11;-6.59
35.12;-7.55;35.12;-7.55;35.12;-7.55;35.12;-7.55
38.13;-8.51;38.13;-8.51;38.13;-8.51;38.13;-8.51
41.14;-9.47;41.14;-9.47;41.14;-9.47;41.14;-9.47
44.15;-10.43;44.15;-10.43;44.15;-10.43;44.15;-10.43
47.16;-11.39;47.16;-11.39;47.16;-11.39;47.16;-11.39
50.17;-12.35;50.17;-12.35;50.17;-12.35;50.17;-12.35
53.18;-13.31;53.18;-13.31;53.18;-13.31;53.18;-13.31
56.19;-14.27;56.19;-14.27;56.19;-14.27;56.19;-14.27
59.2;-15.23;59.2;-15.23;59.2;-15.23;59.2;-15.23
62.21;-16.19;62.21;-16.19;62.21;-16.19;62.21;-16.19
65.22;-17.15;65.22;-17.15;65.22;-17.15;65.22;-17.15
68.23;-18.11;68.23;-18.11;68.23;-18.11;68.23;-18.11
71.24;-19.07;71.24;-19.07;71.24;-19.07;71.24;-19.07
74.25;-20.03;74.25;-20.03;74.25;-20.03;74.25;-20.03
